location,total_sqft,bath,bhk
Electronic City Phase II,1056.0,2.0,2
Uttarahalli,1440.0,2.0,3
Lingadheeranahalli,1521.0,3.0,3
Kothanur,1200.0,2.0,2
Old Airport Road,2732.0,4.0,4
Rajaji Nagar,3300.0,4.0,4
other,1020.0,6.0,6
Whitefield,2785.0,5.0,4
7th Phase JP Nagar,1000.0,2.0,2
Gottigere,1100.0,2.0,2
Sarjapur,2250.0,3.0,3
Mysore Road,1175.0,2.0,2
Bisuvanahalli,1180.0,3.0,3
other,2770.0,4.0,3
Kengeri,600.0,1.0,1
Binny Pete,1755.0,3.0,3
Thanisandra,2800.0,5.0,4
Bellandur,1767.0,3.0,3
Thanisandra,510.0,1.0,1
Whitefield,1610.0,3.0,3
Ramagondanahalli,1151.0,2.0,2
Electronic City,1025.0,2.0,3
Yelahanka,2475.0,4.0,4
Hebbal,1760.0,2.0,3
Kasturi Nagar,1925.0,3.0,3
Kundalahalli,1724.0,3.0,3
Uttarahalli,1143.0,2.0,2
Murugeshpalya,1296.0,2.0,2
Ganga Nagar,600.0,1.0,1
Yelahanka,660.0,1.0,1
Kanakpura Road,1330.74,2.0,2
HSR Layout,600.0,9.0,8
Doddathoguru,970.0,2.0,2
Whitefield,1459.0,2.0,2
KR Puram,800.0,1.0,2
Lakshminarayana Pura,1185.0,2.0,2
Begur Road,1200.0,2.0,2
other,1500.0,2.0,2
Murugeshpalya,1407.0,4.0,6
Ganga Nagar,845.0,2.0,2
Varthur,1160.0,2.0,2
Bommanahalli,3000.0,8.0,8
Doddathoguru,1100.0,2.0,2
Gunjur,1140.0,2.0,2
Marathahalli,1220.0,2.0,2
Devarachikkanahalli,1350.0,7.0,8
other,500.0,3.0,3
Begur Road,1358.0,2.0,2
Hegde Nagar,1569.0,3.0,3
Haralur Road,1240.0,2.0,2
Hennur Road,2089.0,3.0,3
Kothannur,1206.0,2.0,2
Kalena Agrahara,1150.0,2.0,2
other,2511.0,3.0,3
Kaval Byrasandra,460.0,1.0,2
ISRO Layout,4400.0,6.0,6
other,1660.0,2.0,3
Yelahanka,1326.0,2.0,2
Garudachar Palya,1325.0,2.0,3
Hegde Nagar,3000.0,7.0,6
Dasanapura,708.0,2.0,2
Kasavanhalli,1060.0,2.0,2
Rajaji Nagar,710.0,6.0,6
Sanjay nagar,1000.0,2.0,2
ISRO Layout,1200.0,4.0,4
Thanisandra,1296.0,2.0,2
Domlur,1540.0,3.0,3
Kengeri,2894.0,4.0,4
Sarjapura - Attibele Road,1330.0,2.0,3
other,1200.0,3.0,3
Chandapura,650.0,1.0,2
Kothanur,2400.0,2.0,3
Rajaji Nagar,1640.0,3.0,3
Devanahalli,1260.0,2.0,2
other,1800.0,3.0,3
Ramamurthy Nagar,3700.0,4.0,4
Sarjapur  Road,2497.0,3.0,3
Thanisandra,1436.0,3.0,3
Malleshwaram,1100.0,2.0,2
Hennur Road,276.0,3.0,2
Thanisandra,1427.0,3.0,3
Akshaya Nagar,2061.0,3.0,3
Shampura,2650.0,4.0,4
Devanahalli,1282.0,2.0,3
Kadugodi,1050.0,2.0,2
Hormavu,1500.0,2.0,2
Vishwapriya Layout,950.0,7.0,7
other,1870.0,3.0,3
Sarjapur,1600.0,3.0,3
other,1200.0,4.0,4
Kudlu Gate,1535.0,3.0,3
Kanakpura Road,950.0,2.0,2
8th Phase JP Nagar,1073.5,2.0,2
Bommasandra Industrial Area,1280.0,3.0,3
other,1260.0,2.0,3
Hennur Road,5000.0,8.0,8
Kasavanhalli,1563.05,3.0,3
ISRO Layout,1000.0,2.0,2
Anandapura,1167.0,2.0,2
Vishveshwarya Layout,4000.0,7.0,7
Kothanur,1828.0,3.0,3
Kengeri Satellite Town,890.0,2.0,2
other,1034.0,5.0,6
Kannamangala,957.0,2.0,2
other,2795.0,4.0,3
Hulimavu,1125.0,2.0,2
